"m","n","distribution","t_interval_lower","t_interval_upper","likelihood_mle_lower","likelihood_mle_upper","likelihood_lr_lower","likelihood_lr_upper","nonparametric_lower","nonparametric_upper"
1000,50,"gamma",1.22301001550524,1.85063117991017,1.2153594171202,1.84488693059187,1.2153594171202,1.84488693059187,1.22301001550524,1.85063117991017
1000,50,"lognormal",1.1846656669332,2.08099286790749,1.11704249774623,2.05208768853064,1.11704249774623,2.05208768853064,1.1846656669332,2.08099286790749
1000,50,"weibull",0.718265282838505,0.97176193445666,0.721417321210873,0.969263476957991,0.721417321210874,0.969263476957991,0.718265282838505,0.97176193445666
1000,100,"normal",-0.0771811320641617,0.269280846157319,-0.0885060037812652,0.269317821053678,-0.0885060037812648,0.269317821053679,-0.0771811320641617,0.269280846157319
1000,100,"t",-0.103918017632953,0.334758574280896,-0.116695173986035,0.33571144202842,-0.116695173986034,0.335711442028421,-0.103918017632953,0.334758574280896
1000,100,"gamma",1.50630382244554,1.9507491307941,1.50258142386486,1.9404177207076,1.50258142386486,1.9404177207076,1.50630382244554,1.9507491307941
1000,100,"lognormal",1.3592844594285,2.00762012614539,1.31501623216508,1.99007473667771,1.31501623216508,1.9900747366777,1.3592844594285,2.00762012614539
1000,100,"weibull",0.800676246334734,0.971304905083518,0.795657150690465,0.974956428062647,0.795657150690465,0.974956428062646,0.800676246334734,0.971304905083518
1000,1000,"normal",-0.0459079990542495,0.0773020722972242,-0.0453380255086618,0.0775937573784377,-0.0453380255086602,0.0775937573784393,-0.0459079990542495,0.0773020722972242
1000,1000,"t",-0.0938517124295471,0.0485670359791633,-0.0919400360172709,0.0513613158841806,-0.0919400360172699,0.0513613158841816,-0.0938517124295471,0.0485670359791633
1000,1000,"gamma",1.80054849435194,1.96423597197443,1.79981424436112,1.96011579797153,1.79981424436111,1.96011579797152,1.80054849435194,1.96423597197443
1000,1000,"lognormal",1.54982652398325,1.81087559990568,1.5409182384586,1.80245514806289,1.54091823845859,1.80245514806288,1.54982652398325,1.81087559990568
1000,1000,"weibull",0.860092359867383,0.916322324739996,0.8615168323587,0.918877187852133,0.861516832358701,0.918877187852134,0.860092359867383,0.916322324739996
