m,n,distribution,analytic_mean,bs_mean,BS_t_interval_lower,analytic_t_interval_lower,BS_t_interval_upper,analytic_t_interval_upper,analytic_se,bs_se,BS_likelihood_mle_lower,BS_likelihood_lr_lower,BS_nonparametric_lower,BS_likelihood_mle_upper,BS_likelihood_lr_upper,BS_nonparametric_upper
5000,1000,normal,0,0.017314711,-0.044053286,-0.061980642,0.078682709,0.061980642,0.031622777,0.031068202,-0.045338026,-0.045306441,-0.044053286,0.077593757,0.077591404,0.078682709
10000,1000,normal,0,0.017235722,-0.044170416,-0.061980642,0.078641861,0.061980642,0.031622777,0.031118485,-0.045338026,-0.045306441,-0.044170416,0.077593757,0.077591404,0.078641861
200,10,t,0,0.08037697,-0.573581447,-0.692964646,0.734335386,0.692964646,0.353553391,0.327137512,-0.777722138,-0.777703389,-0.573581447,0.827548614,0.827529554,0.734335386
500,10,t,0,0.00583516,-0.70762524,-0.692964646,0.71929556,0.692964646,0.353553391,0.360212385,-0.777722138,-0.777703389,-0.70762524,0.827548614,0.827529554,0.71929556
1000,10,t,0,0.021373674,-0.721192353,-0.692964646,0.763939701,0.692964646,0.353553391,0.378188497,-0.777722138,-0.777703389,-0.721192353,0.827548614,0.827529554,0.763939701
2000,10,t,0,0.041247607,-0.735550849,-0.692964646,0.818046062,0.692964646,0.353553391,0.390777602,-0.777722138,-0.777703389,-0.735550849,0.827548614,0.827529554,0.818046062
5000,10,t,0,0.054449573,-0.72159093,-0.692964646,0.830490075,0.692964646,0.353553391,0.394002704,-0.777722138,-0.777703389,-0.72159093,0.827548614,0.827529554,0.830490075
10000,10,t,0,0.053830169,-0.702206288,-0.692964646,0.809866626,0.692964646,0.353553391,0.389721778,-0.777722138,-0.777703389,-0.702206288,0.827548614,0.827529554,0.809866626
200,50,t,0,0.066407619,-0.240474015,-0.309903211,0.373289253,0.309903211,0.158113883,0.161042836,-0.257670562,-0.257659936,-0.240474015,0.421885085,0.421877802,0.373289253
500,50,t,0,0.063149508,-0.24736506,-0.309903211,0.373664077,0.309903211,0.158113883,0.162792582,-0.257670562,-0.257659936,-0.24736506,0.421885085,0.421877802,0.373664077
1000,50,t,0,0.072326797,-0.245535593,-0.309903211,0.390189187,0.309903211,0.158113883,0.161419525,-0.257670562,-0.257659936,-0.245535593,0.421885085,0.421877802,0.390189187
